epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.176,0.92715,0.52754,0.96875,0.98274,0.98788,0.99324,0.78461,0.84457,0.38559,0.95468,0.000666012,0.000666012,0.000666012
2,360.19,0.89558,0.43919,0.94712,0.99099,0.99611,0.99356,0.82651,0.73028,0.33861,0.90928,0.00131948,0.00131948,0.00131948
3,533.854,0.8656,0.41519,0.93689,0.98999,0.99574,0.9928,0.81907,0.738,0.34702,0.91285,0.00195976,0.00195976,0.00195976
4,706.959,0.82519,0.3962,0.92338,0.99253,0.99639,0.99382,0.82796,0.70905,0.32796,0.89812,0.0019406,0.0019406,0.0019406
5,880.191,0.8064,0.37942,0.91653,0.9951,0.99954,0.99395,0.83988,0.70383,0.30348,0.89565,0.0019208,0.0019208,0.0019208
6,1053.31,0.77828,0.36539,0.90872,0.99171,0.9988,0.99371,0.84606,0.67716,0.30202,0.88373,0.001901,0.001901,0.001901
7,1226.44,0.76861,0.36004,0.90373,0.99649,0.99832,0.9941,0.8531,0.67886,0.28977,0.88439,0.0018812,0.0018812,0.0018812
8,1399.54,0.74744,0.34988,0.89543,0.99594,0.9991,0.99312,0.85599,0.6513,0.28959,0.87362,0.0018614,0.0018614,0.0018614
9,1572.25,0.74332,0.34731,0.89547,0.98866,0.9988,0.98661,0.85519,0.63526,0.27633,0.86919,0.0018416,0.0018416,0.0018416
10,1743.24,0.71878,0.33225,0.88609,0.99545,0.99843,0.99301,0.85951,0.64626,0.27743,0.86936,0.0018218,0.0018218,0.0018218
11,1914.34,0.71247,0.33186,0.88584,0.9952,0.998,0.99299,0.85743,0.66621,0.27514,0.87733,0.001802,0.001802,0.001802
12,2085.21,0.71289,0.32834,0.88324,0.99548,0.9988,0.99324,0.86668,0.62308,0.26844,0.86448,0.0017822,0.0017822,0.0017822
13,2256.3,0.69994,0.32287,0.88152,0.9974,0.99861,0.99405,0.86729,0.63084,0.27,0.8643,0.0017624,0.0017624,0.0017624
14,2429.2,0.69131,0.31735,0.87759,0.99598,0.99861,0.9941,0.86895,0.62793,0.26083,0.86463,0.0017426,0.0017426,0.0017426
15,2602.71,0.68445,0.31492,0.87573,0.99633,0.99907,0.99263,0.86761,0.61643,0.25949,0.86088,0.0017228,0.0017228,0.0017228
16,2775.93,0.67853,0.31227,0.87191,0.99693,0.99917,0.99346,0.87256,0.61369,0.25533,0.85817,0.001703,0.001703,0.001703
