epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05277,2.66039,6.65488,3.76789,0.20584,0.40625,0.19914,0.05777,5.57897,26.9637,15.6319,0.00054,0.00054,0.00054
2,16.2601,3.84023,5.82269,4.56571,0.07229,0.75,0.09561,0.02148,6.2403,inf,181.965,0.00108911,0.00108911,0.00108911
3,24.3188,3.69767,5.79609,4.66357,0.07229,0.75,0.09561,0.02148,nan,nan,nan,0.00162713,0.00162713,0.00162713
4,32.337,4.08863,4.96567,4.84524,0.07229,0.75,0.09561,0.02148,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,40.3751,3.98835,5.02941,4.72319,0.07229,0.75,0.09561,0.02148,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,48.4806,3.43203,4.61983,4.18874,0.07229,0.75,0.09561,0.02148,11.2134,3187.67,116.66,0.001901,0.001901,0.001901
7,56.5592,3.17442,4.17878,3.98495,0.06119,0.15625,0.0139,0.00584,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,64.6739,3.03054,3.98701,3.96249,0.30286,0.15625,0.12907,0.03388,5.64457,74.1493,12.1853,0.0018614,0.0018614,0.0018614
9,72.7114,2.90945,3.61512,3.74546,0.30209,0.03125,0.01483,0.00426,6.83377,15.1504,13.4686,0.0018416,0.0018416,0.0018416
10,80.7765,2.78204,3.10608,3.59196,0.37899,0.875,0.48909,0.10599,5.22205,10.945,10.368,0.0018218,0.0018218,0.0018218
11,88.9053,2.87114,2.63422,3.61054,0.57965,0.68954,0.54554,0.13539,4.81204,12.8979,9.42661,0.001802,0.001802,0.001802
12,97.3827,2.66629,2.61417,3.52265,0.4876,0.34375,0.32663,0.11869,3.85117,5.61228,6.34375,0.0017822,0.0017822,0.0017822
13,105.852,2.79552,2.4808,3.61311,0.69514,0.71875,0.78914,0.51337,2.26981,5.96306,4.06945,0.0017624,0.0017624,0.0017624
14,114.605,2.55223,2.51592,3.40971,0.59207,0.72584,0.68352,0.42763,2.1232,3.29804,3.87318,0.0017426,0.0017426,0.0017426
15,123.117,2.47784,2.30526,3.40078,0.64521,0.84375,0.74702,0.49396,2.12881,2.39121,3.94714,0.0017228,0.0017228,0.0017228
16,131.503,2.51573,2.31101,3.37833,0.73604,0.9375,0.88415,0.66661,1.79653,2.87794,3.41353,0.001703,0.001703,0.001703
17,140.124,2.40534,2.16327,3.27689,0.73791,0.90625,0.88218,0.66829,1.90949,2.25952,3.81798,0.0016832,0.0016832,0.0016832
18,148.56,2.3015,2.17377,3.25317,0.73561,0.8696,0.88815,0.62047,1.93696,1.53418,3.46458,0.0016634,0.0016634,0.0016634
19,156.883,2.26188,1.88019,3.19882,0.87934,0.68335,0.85499,0.64053,1.82555,1.57303,3.27274,0.0016436,0.0016436,0.0016436
20,164.91,2.37387,2.00126,3.19759,0.78865,0.81635,0.90309,0.69934,1.83217,1.49087,3.31981,0.0016238,0.0016238,0.0016238
21,173.348,2.1723,1.8901,3.11772,0.81034,0.66787,0.8136,0.63661,1.63372,1.81464,3.22328,0.001604,0.001604,0.001604
22,181.453,2.23889,1.7678,3.19407,0.73557,0.71875,0.76265,0.55504,1.83348,1.83759,3.33416,0.0015842,0.0015842,0.0015842
23,189.637,2.19652,1.83536,3.17613,0.67691,0.875,0.86285,0.62581,1.90272,1.80994,3.31325,0.0015644,0.0015644,0.0015644
24,197.727,1.89675,1.70571,2.96054,0.74947,0.74794,0.83435,0.69391,1.48891,1.75768,2.96334,0.0015446,0.0015446,0.0015446
25,205.788,2.04639,1.68062,3.02693,0.86648,0.81121,0.86875,0.71945,1.67815,1.26218,3.232,0.0015248,0.0015248,0.0015248
26,214.039,2.03643,1.77263,3.00592,0.72104,0.88871,0.88602,0.78399,1.18269,1.05132,2.76404,0.001505,0.001505,0.001505
27,222.258,1.94678,1.68887,2.98488,0.93587,0.9123,0.94142,0.82845,1.18415,0.90224,2.7456,0.0014852,0.0014852,0.0014852
28,230.815,1.78709,1.46377,2.81454,0.85536,0.84375,0.9187,0.74577,1.5986,1.02566,3.13233,0.0014654,0.0014654,0.0014654
29,239.364,1.84621,1.46476,2.87761,0.88699,0.84375,0.93998,0.81067,1.09416,1.10029,2.53428,0.0014456,0.0014456,0.0014456
30,247.83,1.7806,1.43227,2.81907,0.7662,0.9375,0.9034,0.73937,1.39303,1.12463,2.84258,0.0014258,0.0014258,0.0014258
31,256.335,1.75369,1.3394,2.85248,0.88111,0.92663,0.93191,0.80073,1.28478,0.87182,2.71026,0.001406,0.001406,0.001406
32,264.54,1.73412,1.36084,2.83887,0.83326,0.9375,0.92772,0.78543,1.37288,0.91978,2.93385,0.0013862,0.0013862,0.0013862
33,272.977,1.79548,1.33967,2.78223,0.8959,0.90625,0.94382,0.78694,1.37204,1.13376,2.73807,0.0013664,0.0013664,0.0013664
34,281.429,1.761,1.32939,2.81046,0.83408,0.84375,0.90714,0.65175,1.78384,1.50454,3.5764,0.0013466,0.0013466,0.0013466
35,289.834,1.71035,1.2703,2.77109,0.85143,0.89564,0.86276,0.56231,2.50535,1.77534,5.13283,0.0013268,0.0013268,0.0013268
36,298.148,1.65585,1.334,2.75756,1,0.80649,0.95897,0.83925,1.09668,0.89251,2.53159,0.001307,0.001307,0.001307
37,306.518,1.65964,1.22425,2.73854,0.92773,0.90625,0.96225,0.83744,1.2918,0.85702,2.63405,0.0012872,0.0012872,0.0012872
38,314.723,1.6902,1.23454,2.75417,1,0.86908,0.96545,0.90346,0.91711,0.7781,2.33653,0.0012674,0.0012674,0.0012674
39,322.797,1.66446,1.17,2.78348,0.93084,0.84134,0.93745,0.85717,0.97348,0.73068,2.41635,0.0012476,0.0012476,0.0012476
40,331.148,1.66636,1.3017,2.75733,0.91167,0.96766,0.96042,0.84344,1.14969,0.65348,2.59632,0.0012278,0.0012278,0.0012278
41,339.64,1.6503,1.2148,2.73534,0.94119,0.90625,0.94755,0.8512,0.99017,0.86386,2.44352,0.001208,0.001208,0.001208
42,347.883,1.49314,1.2293,2.68937,0.87944,0.91196,0.94756,0.83143,1.0091,0.8799,2.46446,0.0011882,0.0011882,0.0011882
43,356.251,1.56709,1.27684,2.7284,0.87117,0.875,0.92291,0.81151,1.09434,0.81685,2.54494,0.0011684,0.0011684,0.0011684
44,364.427,1.59289,1.19042,2.72602,0.95616,0.875,0.94809,0.8399,1.14285,0.83981,2.74556,0.0011486,0.0011486,0.0011486
45,372.816,1.51385,1.12086,2.67723,0.88111,0.92663,0.947,0.86583,0.97322,0.7394,2.33241,0.0011288,0.0011288,0.0011288
46,381.108,1.56331,1.07125,2.62947,0.90088,0.96875,0.95975,0.84769,1.03363,0.86684,2.39908,0.001109,0.001109,0.001109
